id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
64,2,607,2,3,0.119375,2,0
65,11,772,1,31,2.024375,12,0
66,7,1124,1,17,0.794375,9,0
67,16,5489,2,46,1.6275,22,0
68,21,5754,1,69,4.449375,21,0
69,4,1652,1,6,0.1775,5,0
70,8,2932,1,16,0.84,8,0
71,1,1373,5,30,6.5375,6,0
72,5,947,3,8,0.26,6,0
73,4,490,1,4,0.09,4,0
74,6,690,4,13,0.619375,7,0
75,6,913,1,11,0.299375,9,0
76,6,941,2,14,2.0275,3,0
77,5,824,1,18,2.9475,3,0
78,27,3468,4,112,29.91,18,0
79,28,7906.5,7,187,92.669375,22,0
80,12,1501,1,54,5.2775,22,0
81,1,9565,7,63,22.094375,5,0
82,4,2687,3,6,0.3275,3,0
83,1,58,1,1,0.024375,1,0
84,3,1034,3,3,0.069375,3,0
85,1,343,1,1,0.024375,1,0
86,1,183,1,2,0.0975,1,0
87,2,53,1,3,0.069375,3,0
88,1,543,2,1,0.024375,1,0
89,1,356,1,1,0.024375,1,0
90,3,1505,3,4,0.14,3,0
91,2,88,1,2,0.0475,2,0
92,3,220,2,8,0.21,7,0
93,1,190,1,1,0.024375,1,0
94,15,4005,2,29,2.149375,11,0
95,3,1170,4,2,0.0475,2,0
96,2,620,1,2,0.0975,1,0
97,19,7744,1,44,3.59,15,1
98,3,359,2,7,0.194375,6,1
99,3,541,3,3,0.119375,2,1
100,1,485,1,1,0.024375,1,1
101,6,2388,4,14,0.7275,7,1
102,4,3219,10,11,0.349375,8,0
103,6,7634.4,3,34,8.1275,8,0
104,2,922,1,5,0.409375,2,0
105,3,2087,2,3,0.069375,3,0
106,17,19875,8,79,5.374375,27,0
107,2,2363,1,3,0.119375,2,0
108,1,148,2,2,0.0975,1,0
109,1,9368,1,5,0.259375,3,1
110,14,5901,7,49,5.624375,18,0
111,10,3810,4,31,1.824375,13,1
112,6,3394,3,14,0.4775,10,0
113,2,972,4,2,0.0475,2,1
114,4,6361,4,5,0.109375,5,1
115,4,340,1,9,0.424375,5,1
116,3,46,1,3,0.069375,3,1
117,24,3433,1,73,5.544375,26,1
118,13,5478,2,148,23.11,33,1
119,13,10765,2,196,48.09,32,1
